name	has_val	has_test	promotable	public_clone	test_total_cites	test_mean_cites	jaccard_vs_public_anchor	reason
private_vote_winners_t24_corpusclean	1	1	1	0	887	22.175000	0.923510	ok
public_peak_33438	1	1	1	0	823	20.575000	1.000000	ok
public_peak_33438_prepared	1	1	1	1	830	20.750000	0.991566	public clone J=0.9916
rubik_eighteenth_order_support_balanced_commutator_test	1	1	1	0	891	22.275000	0.881449	ok
rubik_eighteenth_order_support_balanced_swap_commutator_test	1	1	1	0	891	22.275000	0.881449	ok
rubik_highj	1	1	1	0	890	22.250000	0.882418	ok
rubik_safe_micro_repair_03_v52524_j99438_a3_r2	1	1	1	0	888	22.200000	0.884361	ok
samesrc32904_fixed12_lfc1_32562	1	1	1	0	841	21.025000	0.964581	ok
samesrc_bold_01	1	1	1	1	838	20.950000	0.982100	public clone J=0.9821
samesrc_bold_micro_repair_02_v54119_j98111_a6_r10	1	1	1	0	837	20.925000	0.971496	ok
samesrc_bold_micro_repair_03_v54119_j98111_a6_r10	1	1	1	0	837	20.925000	0.969158	ok
samesrc_bold_micro_repair_04_v54119_j98111_a6_r10	1	1	1	0	837	20.925000	0.969158	ok
samesrc_bold_micro_repair_05_v54119_j98111_a6_r10	1	1	1	0	837	20.925000	0.969158	ok
samesrc_bold_micro_repair_06_v54085_j98229_a6_r9	1	1	1	1	838	20.950000	0.982100	public clone J=0.9821
samesrc_bold_micro_repair_07_v54064_j98347_a6_r8	1	1	1	1	839	20.975000	0.980930	public clone J=0.9809
samesrc_bold_micro_repair_08_v54025_j98229_a6_r9	1	1	1	0	838	20.950000	0.972684	ok
samesrc_bold_micro_repair_09_v54025_j98229_a6_r9	1	1	1	0	838	20.950000	0.970344	ok
samesrc_bold_micro_repair_10_v54025_j98229_a6_r9	1	1	1	0	838	20.950000	0.968009	ok
samesrc_bold_micro_repair_11_v54025_j98229_a6_r9	1	1	1	0	838	20.950000	0.970344	ok
samesrc_bold_micro_repair_12_v54028_j98580_a4_r8	1	1	1	0	837	20.925000	0.966825	ok
samesrc_bold_micro_repair_14_v53983_j97644_a8_r12	1	1	1	0	837	20.925000	0.978546	ok
samesrc_bold_micro_repair_15_v53934_j98347_a6_r8	1	1	1	0	839	20.975000	0.973872	ok
samesrc_bold_micro_repair_16_v53934_j98347_a6_r8	1	1	1	0	839	20.975000	0.971530	ok
samesrc_bold_micro_repair_17_v53934_j98347_a6_r8	1	1	1	0	839	20.975000	0.969194	ok
samesrc_bold_micro_repair_18_v53934_j98347_a6_r8	1	1	1	0	839	20.975000	0.969194	ok
samesrc_bold_micro_repair_19_v53917_j98698_a4_r7	1	1	1	0	838	20.950000	0.968009	ok
samesrc_bold_micro_repair_20_v53863_j98583_a6_r6	1	1	1	0	841	21.025000	0.978597	ok
samesrc_bold_micro_repair_21_v53846_j98583_a6_r6	1	1	1	0	841	21.025000	0.978597	ok
samesrc_bold_micro_repair_22_v53873_j97762_a8_r11	1	1	1	0	838	20.950000	0.979738	ok
samesrc_bold_micro_repair_23_v53827_j98817_a4_r6	1	1	1	0	839	20.975000	0.969194	ok
samesrc_bold_micro_repair_24_v53802_j98583_a6_r6	1	1	1	0	841	21.025000	0.973903	ok
samesrc_fixed_16	1	1	1	0	860	21.500000	0.956977	ok
samesrc_safe_micro_repair_01_v53520_j99292_a6_r0	1	1	1	0	847	21.175000	0.969340	ok
samesrc_safe_micro_repair_02_v52903_j99763_a2_r0	1	1	1	0	843	21.075000	0.966942	ok
samesrc_safe_micro_repair_03_v52818_j99645_a3_r0	1	1	1	0	844	21.100000	0.968123	ok
samesrc_safe_micro_repair_04_v52667_j99881_a1_r0	1	1	1	0	842	21.050000	0.965762	ok
samesrc_safe_micro_repair_05_v53422_j99527_a4_r0	1	1	1	0	845	21.125000	0.966981	ok
samesrc_safe_micro_repair_06_v53111_j99058_a8_r0	1	1	1	0	849	21.225000	0.969376	ok
samesrc_safe_micro_repair_07_v52446_j99527_a4_r0	1	1	1	0	845	21.125000	0.969303	ok
samesrc_safe_micro_repair_08_v52037_j99644_a2_r1	1	1	1	0	842	21.050000	0.968085	ok
samesrc_safe_micro_repair_09_v52037_j99644_a2_r1	1	1	1	0	842	21.050000	0.965762	ok
samesrc_safe_micro_repair_10_v52037_j99526_a2_r2	1	1	1	0	841	21.025000	0.969231	ok
samesrc_safe_micro_repair_11_v52024_j99762_a1_r1	1	1	1	0	841	21.025000	0.966903	ok
samesrc_safe_micro_repair_12_v52024_j99762_a1_r1	1	1	1	0	841	21.025000	0.966903	ok
samesrc_safe_micro_repair_13_v51804_j99526_a3_r1	1	1	1	0	843	21.075000	0.969267	ok
samesrc_safe_micro_repair_14_v51804_j99526_a3_r1	1	1	1	0	843	21.075000	0.964623	ok
samesrc_safe_micro_repair_15_v51804_j99408_a3_r2	1	1	1	0	842	21.050000	0.970414	ok
samesrc_safe_micro_repair_16_v51804_j99289_a3_r3	1	1	1	0	841	21.025000	0.971564	ok
samesrc_safe_micro_repair_17_v51734_j99407_a2_r3	1	1	1	0	840	21.000000	0.970379	ok
samesrc_safe_micro_repair_18_v51646_j99526_a2_r2	1	1	1	0	841	21.025000	0.966903	ok
samesrc_safe_micro_repair_19_v51658_j99644_a1_r2	1	1	1	0	840	21.000000	0.968047	ok
samesrc_safe_micro_repair_20_v51658_j99644_a1_r2	1	1	1	0	840	21.000000	0.968047	ok
samesrc_safe_micro_repair_21_v51959_j99292_a6_r0	1	1	1	0	847	21.175000	0.971665	ok
samesrc_safe_micro_repair_22_v51661_j99408_a4_r1	1	1	1	0	844	21.100000	0.968123	ok
samesrc_safe_micro_repair_23_v51661_j99408_a4_r1	1	1	1	0	844	21.100000	0.963486	ok
samesrc_safe_micro_repair_24_v51661_j99290_a4_r2	1	1	1	0	843	21.075000	0.969267	ok
staff_fifteenth_order_clean_pre_reset_consensus_all5_k3_test	1	1	1	0	880	22.000000	0.883850	ok
staff_fifteenth_order_clean_pre_reset_consensus_highj_top3_k2_test	1	1	1	0	887	22.175000	0.885336	ok
staff_fifteenth_order_clean_pre_reset_consensus_highj_top4_k3_test	1	1	1	0	883	22.075000	0.889258	ok
submitted_fusion_rubik_v08	1	1	1	0	867	21.675000	0.905299	ok
submitted_samesrc_bold_01	1	1	1	1	837	20.925000	0.983274	public clone J=0.9833
submitted_samesrc_bold_13_alt	1	1	1	1	839	20.975000	0.980930	public clone J=0.9809
test_submission_bold_7h_reseedD_balanced	1	1	1	0	918	22.950000	0.854100	ok
test_submission_bold_7h_reseedD_highlift	1	1	1	0	919	22.975000	0.843386	ok
test_submission_bold_7h_reseedD_private_safe	1	1	1	0	903	22.575000	0.865946	ok
test_submission_bold_7h_reseedD_sympareto_j940	1	1	1	0	911	22.775000	0.850587	ok
test_submission_bold_7h_reseedD_sympareto_j945	1	1	1	0	906	22.650000	0.855150	ok
test_submission_bold_7h_reseedD_sympareto_j950	1	1	1	0	901	22.525000	0.859763	ok
test_submission_bold_7h_reseedE_balanced	1	1	1	0	915	22.875000	0.850905	ok
test_submission_bold_7h_reseedE_highlift	1	1	1	0	910	22.750000	0.849520	ok
test_submission_bold_7h_reseedE_private_safe	1	1	1	0	903	22.575000	0.865946	ok
test_submission_bold_7h_reseedE_sympareto_j940	1	1	1	0	904	22.600000	0.854995	ok
test_submission_bold_7h_reseedE_sympareto_j945	1	1	1	0	899	22.475000	0.859611	ok
test_submission_bold_7h_reseedF_balanced	1	1	1	0	917	22.925000	0.853035	ok
test_submission_bold_7h_reseedF_hailmary	1	1	1	0	935	23.375000	0.829344	ok
test_submission_bold_7h_reseedF_private_safe	1	1	1	0	913	22.825000	0.860665	ok
test_submission_bold_7h_reseedF_sympareto_j940	1	1	1	0	912	22.800000	0.849680	ok
test_submission_bold_7h_widebankG_private_safe	1	1	1	0	905	22.625000	0.864078	ok
